FullTime;FullTime_text;FullTime_int;Hour;Minute;Second;Period;LunchTime;DinnerTime
08:00:00;080000;80000;8;0;0;Morning;No;No
08:00:01;080001;80001;8;0;1;Morning;No;No
08:00:02;080002;80002;8;0;2;Morning;No;No
08:00:03;080003;80003;8;0;3;Morning;No;No
08:00:04;080004;80004;8;0;4;Morning;No;No
08:00:05;080005;80005;8;0;5;Morning;No;No
08:00:06;080006;80006;8;0;6;Morning;No;No
08:00:07;080007;80007;8;0;7;Morning;No;No
08:00:08;080008;80008;8;0;8;Morning;No;No
08:00:09;080009;80009;8;0;9;Morning;No;No
08:00:10;080010;80010;8;0;10;Morning;No;No
08:00:11;080011;80011;8;0;11;Morning;No;No
08:00:12;080012;80012;8;0;12;Morning;No;No
08:00:13;080013;80013;8;0;13;Morning;No;No
08:00:14;080014;80014;8;0;14;Morning;No;No
08:00:15;080015;80015;8;0;15;Morning;No;No
08:00:16;080016;80016;8;0;16;Morning;No;No
08:00:17;080017;80017;8;0;17;Morning;No;No
08:00:18;080018;80018;8;0;18;Morning;No;No
08:00:19;080019;80019;8;0;19;Morning;No;No
08:00:20;080020;80020;8;0;20;Morning;No;No
08:00:21;080021;80021;8;0;21;Morning;No;No
08:00:22;080022;80022;8;0;22;Morning;No;No
08:00:23;080023;80023;8;0;23;Morning;No;No
08:00:24;080024;80024;8;0;24;Morning;No;No
08:00:25;080025;80025;8;0;25;Morning;No;No
08:00:26;080026;80026;8;0;26;Morning;No;No
08:00:27;080027;80027;8;0;27;Morning;No;No
08:00:28;080028;80028;8;0;28;Morning;No;No
08:00:29;080029;80029;8;0;29;Morning;No;No
08:00:30;080030;80030;8;0;30;Morning;No;No
08:00:31;080031;80031;8;0;31;Morning;No;No
08:00:32;080032;80032;8;0;32;Morning;No;No
08:00:33;080033;80033;8;0;33;Morning;No;No
08:00:34;080034;80034;8;0;34;Morning;No;No
08:00:35;080035;80035;8;0;35;Morning;No;No
08:00:36;080036;80036;8;0;36;Morning;No;No
08:00:37;080037;80037;8;0;37;Morning;No;No
08:00:38;080038;80038;8;0;38;Morning;No;No
08:00:39;080039;80039;8;0;39;Morning;No;No
08:00:40;080040;80040;8;0;40;Morning;No;No
08:00:41;080041;80041;8;0;41;Morning;No;No
08:00:42;080042;80042;8;0;42;Morning;No;No
08:00:43;080043;80043;8;0;43;Morning;No;No
08:00:44;080044;80044;8;0;44;Morning;No;No
08:00:45;080045;80045;8;0;45;Morning;No;No
08:00:46;080046;80046;8;0;46;Morning;No;No
08:00:47;080047;80047;8;0;47;Morning;No;No
08:00:48;080048;80048;8;0;48;Morning;No;No
08:00:49;080049;80049;8;0;49;Morning;No;No
08:00:50;080050;80050;8;0;50;Morning;No;No
08:00:51;080051;80051;8;0;51;Morning;No;No
08:00:52;080052;80052;8;0;52;Morning;No;No
08:00:53;080053;80053;8;0;53;Morning;No;No
08:00:54;080054;80054;8;0;54;Morning;No;No
08:00:55;080055;80055;8;0;55;Morning;No;No
08:00:56;080056;80056;8;0;56;Morning;No;No
08:00:57;080057;80057;8;0;57;Morning;No;No
08:00:58;080058;80058;8;0;58;Morning;No;No
08:00:59;080059;80059;8;0;59;Morning;No;No
08:01:00;080100;80100;8;1;0;Morning;No;No
08:01:01;080101;80101;8;1;1;Morning;No;No
08:01:02;080102;80102;8;1;2;Morning;No;No
08:01:03;080103;80103;8;1;3;Morning;No;No
08:01:04;080104;80104;8;1;4;Morning;No;No
