BrandCode,BrandDescription
BBXT,BXT
BENDOS,Endos
BTTP,TTP
BHARRIS,Harris
BMEMDAX,Memdax
BCOMPKIT,Compkit
BDIXFIX,Dixfix
BOFFSPACE,Office Space
BBUT_HATC,Butler-Hatchet
BDING,Ding
BGZK,GZK
BPOMGRANA,Pomgranate
BSTELLAR,Stellar
BTANGERIN,Tangerine
BBIMBI,Bimbi
BBONZAI,Bonzai
BGAMESTAR,Gamestar
BMASTER,Master
BTOYQUEST,Toyquest
BADONIS,Adonis
BANORAK,Anorak
BBISHOPS,Bishops
BBODI,Bodi
BBOP,Bop
BBUNDY,Bundy
BGAPSONIC,Gapsonic
BLOT,Lot
BMICHELS,Michels
BVNHODGSN,Vanhodgson
BKIDISOFT,Kidisoft
BDOCDARE,Docdare
BKNOWARE,Knoware
BMACRWARE,Macroware
BOFFISOL,Offisol
BORGANISF,Organisoft
BHUBISUBI,Hubisubi
BKOWALSKI,Kowalski
BSHISHIBI,Shishibi
BTEKNODAN,Teknodan
BVISITECH,Visitech
