ItemCode,ItemDescription,CategoryCode,SubCategoryCode,BrandCode,UpmarketFlag
I0000000001,BXT - Listen2This1,MACC,PMSPE,BBXT,F
I0000000002,BXT - Listen2This2,MACC,PMSPE,BBXT,F
I0000000003,BXT - Listen2This3,MACC,PMSPE,BBXT,F
I0000000004,ENDOS - ENSP1,MACC,PMSPE,BENDOS,F
I0000000005,ENDOS - ENSP2,MACC,PMSPE,BENDOS,F
I0000000006,ENDOS - ENSP3,MACC,PMSPE,BENDOS,F
I0000000007,ENDOS - ENSP4,MACC,PMSPE,BENDOS,F
I0000000008,ENDOS - ENSP5,MACC,PMSPE,BENDOS,F
I0000000009,TTP - TTP SuperSpeakers,MACC,PMSPE,BTTP,F
I0000000010,BXT - Adapt2This1,MACC,PADAP,BBXT,F
I0000000011,BXT - Adapt2This2,MACC,PADAP,BBXT,F
I0000000012,ENDOS - ENAD1,MACC,PADAP,BENDOS,F
I0000000013,ENDOS - ENAD2,MACC,PADAP,BENDOS,F
I0000000014,TTP - TTP SuperCharger,MACC,PADAP,BTTP,F
I0000000015,BXT - AA,MACC,PBATT,BBXT,F
I0000000016,BXT - AAA,MACC,PBATT,BBXT,F
I0000000017,BXT - 9V,MACC,PBATT,BBXT,F
I0000000018,BXT - AA - 5 Pack,MACC,PBATT,BBXT,F
I0000000019,BXT - AAA - 5 Pack,MACC,PBATT,BBXT,F
I0000000020,BXT - 9V - 5 Pack,MACC,PBATT,BBXT,F
I0000000021,BXT - AA - 10 Pack,MACC,PBATT,BBXT,F
I0000000022,BXT - AAA - 10 Pack,MACC,PBATT,BBXT,F
I0000000023,BXT - 9V - 10 Pack,MACC,PBATT,BBXT,F
I0000000024,ENDOS - ENBA-AAA4,MACC,PBATT,BENDOS,F
I0000000025,ENDOS - ENBA-AAA10,MACC,PBATT,BENDOS,F
I0000000026,ENDOS - ENBA-AAA100,MACC,PBATT,BENDOS,F
I0000000027,ENDOS - ENBA-AA4,MACC,PBATT,BENDOS,F
I0000000028,ENDOS - ENBA-AA10,MACC,PBATT,BENDOS,F
I0000000029,ENDOS - ENBA-AA100,MACC,PBATT,BENDOS,F
I0000000030,TTP - Endure 10,MACC,PBATT,BTTP,F
I0000000031,TTP - Endure 25,MACC,PBATT,BTTP,F
I0000000032,TTP - Endure 50,MACC,PBATT,BTTP,F
I0000000033,TTP - Endure 100,MACC,PBATT,BTTP,F
I0000000034,BXT - Connect2This1,MACC,PCABL,BBXT,F
I0000000035,BXT - Connect2This2,MACC,PCABL,BBXT,F
I0000000036,BXT - Connect2This3,MACC,PCABL,BBXT,F
I0000000037,BXT - Connect2This4,MACC,PCABL,BBXT,F
I0000000038,ENDOS - ENCA1,MACC,PCABL,BENDOS,F
I0000000039,ENDOS - ENCA2,MACC,PCABL,BENDOS,F
I0000000040,ENDOS - ENCA3,MACC,PCABL,BENDOS,F
I0000000041,ENDOS - ENCA4,MACC,PCABL,BENDOS,F
I0000000042,ENDOS - ENCA5,MACC,PCABL,BENDOS,F
I0000000043,TTP - TTP SuperCable 5m,MACC,PCABL,BTTP,F
I0000000044,TTP - TTR SuperCable 10m,MACC,PCABL,BTTP,F
I0000000045,TTP - TTR SuperCable 15m,MACC,PCABL,BTTP,F
I0000000046,HARRIS - CleanerKit,MACC,PCLKT,BHARRIS,F
I0000000047,MEMDAX - MEMCLEAN,MACC,PCLKT,BMEMDAX,F
I0000000048,HARRIS - CD74,MACC,PCASS,BHARRIS,F
I0000000049,HARRIS - CD74 - 5 Pack,MACC,PCASS,BHARRIS,F
I0000000050,HARRIS - CD74 - 10 Pack,MACC,PCASS,BHARRIS,F
I0000000051,HARRIS - CD74-II,MACC,PCASS,BHARRIS,F
I0000000052,HARRIS - CD74 II - 5 Pack,MACC,PCASS,BHARRIS,F
I0000000053,HARRIS - CD74 II - 10 Pack,MACC,PCASS,BHARRIS,F
I0000000054,HARRIS - 60MAX,MACC,PCASS,BHARRIS,F
I0000000055,HARRIS - 60MAX - 5 Pack,MACC,PCASS,BHARRIS,F
I0000000056,HARRIS - 60MAX - 10 Pack,MACC,PCASS,BHARRIS,F
I0000000057,HARRIS - 90MAX,MACC,PCASS,BHARRIS,F
I0000000058,HARRIS - 90MAX - 5 Pack,MACC,PCASS,BHARRIS,F
I0000000059,HARRIS - 90MAX - 10 Pack,MACC,PCASS,BHARRIS,F
I0000000060,MEMDAX - MEM60-1,MACC,PCASS,BMEMDAX,F
I0000000061,MEMDAX - MEM60-5,MACC,PCASS,BMEMDAX,F
I0000000062,MEMDAX - MEM60-10,MACC,PCASS,BMEMDAX,F
I0000000063,MEMDAX - MEM90-1,MACC,PCASS,BMEMDAX,F
I0000000064,MEMDAX - MEM90-5,MACC,PCASS,BMEMDAX,F
I0000000065,MEMDAX - MEM90-10,MACC,PCASS,BMEMDAX,F
I0000000066,MEMDAX - MEM60C-1,MACC,PCASS,BMEMDAX,F
I0000000067,MEMDAX - MEM60C-5,MACC,PCASS,BMEMDAX,F
I0000000068,MEMDAX - MEM60C-10,MACC,PCASS,BMEMDAX,F
I0000000069,MEMDAX - MEM90C-1,MACC,PCASS,BMEMDAX,F
I0000000070,MEMDAX - MEM90C-5,MACC,PCASS,BMEMDAX,F
I0000000071,MEMDAX - MEM90C-10,MACC,PCASS,BMEMDAX,F
I0000000072,MEMDAX - MEM60CD-1,MACC,PCASS,BMEMDAX,F
I0000000073,MEMDAX - MEM60CD-5,MACC,PCASS,BMEMDAX,F
I0000000074,MEMDAX - MEM60CD-10,MACC,PCASS,BMEMDAX,F
I0000000075,MEMDAX - MEM90CD-1,MACC,PCASS,BMEMDAX,F
I0000000076,MEMDAX - MEM90CD-5,MACC,PCASS,BMEMDAX,F
I0000000077,MEMDAX - MEM90CD-10,MACC,PCASS,BMEMDAX,F
I0000000078,COMPKIT - 10,MACC,PDSKB,BCOMPKIT,F
I0000000079,COMPKIT - 20,MACC,PDSKB,BCOMPKIT,F
I0000000080,COMPKIT - 50,MACC,PDSKB,BCOMPKIT,F
I0000000081,COMPKIT - 100,MACC,PDSKB,BCOMPKIT,F
I0000000082,COMPKIT - 200,MACC,PDSKB,BCOMPKIT,F
I0000000083,DIXFIX - 5,MACC,PDSKB,BDIXFIX,F
I0000000084,DIXFIX - 15,MACC,PDSKB,BDIXFIX,F
I0000000085,DIXFIX - 25,MACC,PDSKB,BDIXFIX,F
I0000000086,DIXFIX - 75,MACC,PDSKB,BDIXFIX,F
I0000000087,DIXFIX - 100,MACC,PDSKB,BDIXFIX,F
I0000000088,OFFICE SPACE - 25,MACC,PDSKB,BOFFSPACE,F
I0000000089,OFFICE SPACE - 25 Color,MACC,PDSKB,BOFFSPACE,F
I0000000090,OFFICE SPACE - 50,MACC,PDSKB,BOFFSPACE,F
I0000000091,OFFICE SPACE - 50 Color,MACC,PDSKB,BOFFSPACE,F
