SubCategoryCode,SubCategoryDescription
PMSPE,Mini Speakers
PADAP,Adaptor
PBATT,Batteries
PCABL,Cable
PCLKT,Cleaner Kit
PCASS,Cassette Tapes
PDSKB,Disk Box
PFLOP,Floppy Disks
PHDST,Headset
PMOUS,Mouse
PMPAD,Mouse Pad
PCART,Printer Cartridge
PSCRN,Screen Cleaner
PSTND,Stand
PVIDT,Videotapes
P32BT,32-Bit Systems
P64BT,64-Bit Systems
PHHLD,Hand held
PDESK,Desktop Computer
PLAPT,Laptop Computer
PPRNT,Printer
PACTI,Action
PARCC,Arcade Classics
PFIGH,Fighting
PFSIM,Flight Simulator
PPUZZ,Puzzles
PRACE,Racing
PSHOT,Shoot-em-up
PSPOR,Sports
PAMPL,Amplifier
PCASP,Cassette Player-Recorder
PCDPL,CD Player
PMUSC,Music Centre
PPERS,Personal
PPMUS,Portable Music Centre
PPRAD,Portable Radio
PTURN,Turntable
PTUNE,Tuner
PEDUC,Educational
PPCGM,PC Game
PHMSW,Home Software
POFSW,Office Software
PCAMC,Camcorder
PDVDP,DVD Player
PTVST,Television set
PTVCR,Combined TV/VCR
PVCRR,VCR
