client	sex	ownhome	salary	age
39808	M	N	27000	46
67362	F	N	30000	28
10872	M	N	13200	36
26748	F	N	12200	26
91609	M	Y	11000	24
26630	F	N	15000	35
62995	F	Y	20800	30
38765	M	Y	24400	22
28935	F	N	29500	46
41792	M	N	29600	22
59480	F	N	27100	18
60755	F	Y	20000	48
70998	M	Y	27300	43
80617	F	Y	28000	43
61144	F	N	27400	24
36405	F	Y	18400	19
76567	M	Y	23100	31
85699	F	Y	27000	29
11357	F	Y	23100	26
97761	F	Y	25800	38
20362	M	Y	25100	38
33173	F	Y	24700	43
69934	F	Y	21300	41
14743	M	Y	12400	48
83071	M	Y	18100	31
17571	F	Y	22900	23
37917	F	N	27000	32
11236	M	Y	26800	34
47914	F	Y	24700	32
58154	M	N	21300	50
35197	M	N	27400	38
64892	F	Y	12900	46
102467	F	Y	26700	48
56677	F	N	27800	42
94105	M	Y	24100	44
63817	M	Y	19600	28
44887	M	Y	28400	41
69720	F	N	16600	41
97267	F	Y	10200	19
53750	F	Y	24800	23
109530	M	N	21100	30
65493	M	Y	19900	43
96694	M	N	16300	28
46730	F	N	18700	35
60499	M	Y	12800	30
73004	M	Y	23800	18
21787	M	N	19700	45
28314	F	Y	29200	37
24651	F	N	22700	37
29367	M	Y	28800	35
15072	M	N	28400	34
33622	M	N	26200	25
42167	F	N	11100	35
43550	M	N	10200	47
18724	F	N	13500	17
91019	M	Y	24100	29
68193	F	Y	29600	24
35262	M	Y	18100	22
93401	F	Y	29700	25
15177	F	N	11700	46
96173	F	N	13800	31
50180	M	Y	23700	42
31828	M	N	12000	17
62022	F	N	13300	40
105225	M	N	21600	35
64668	M	N	11200	49
53320	M	Y	18200	39
15068	M	Y	21400	50
99849	F	Y	11400	17
63694	F	Y	11700	29
24874	F	Y	26700	46
104988	M	N	24800	39
84902	M	Y	29600	50
96512	F	N	20500	43
99575	M	Y	28100	38
33413	F	N	20700	39
57678	M	N	24900	29
89425	M	N	20300	17
60571	F	N	18600	29
76095	M	Y	11000	46
48247	F	N	11000	50
88019	M	Y	23300	41
30850	F	N	19900	34
66117	F	N	27200	26
97377	F	N	12700	24
101722	M	N	29400	31
43498	F	Y	17000	44
44562	F	Y	28600	50
74710	F	Y	27300	30
85585	F	Y	26300	46
97287	M	N	13800	49
19268	F	Y	11000	29
50150	F	N	18800	27
67455	F	Y	19300	40
16350	F	Y	22900	16
42778	M	Y	15500	17
98181	F	Y	21900	24
106522	M	Y	14500	22
36278	M	N	20400	40
26130	F	N	18400	45
57851	F	Y	18700	43
81971	M	N	28200	17
57068	M	N	20900	42
69122	M	Y	29300	34
68489	F	Y	24900	18
46471	M	Y	17100	23
88359	F	Y	19100	21
44294	M	N	16300	18
95604	M	N	11600	44
103596	F	N	12300	26
103473	F	Y	12100	26
94467	M	Y	16600	49
38097	M	N	11700	19
49632	M	N	21700	21
82558	F	Y	27500	22
50324	M	Y	28900	16
38468	F	Y	18300	23
38055	F	Y	22600	25
74876	M	Y	17100	45
18079	M	Y	19800	32
