client	date	weekday	paymethod	value	product
11966	27-Dec-97	Saturday	card	22188	fruitvegs
12582	03-Dec-97	Wednesday	money	25601	charcuterie
13325	25-Dec-97	Thursday	card	41280	fish
13722	14-Dec-97	Sunday	card	36217	fish
13893	10-Dec-97	Wednesday	card	24804	meat
14107	11-Dec-97	Thursday	card	12951	dairy
14301	15-Dec-97	Monday	money	39917	dairy
14658	22-Dec-97	Monday	card	46805	clothes
14996	14-Dec-97	Sunday	money	22259	dairy
15099	14-Dec-97	Sunday	card	11273	fish
15590	02-Dec-97	Tuesday	money	44070	fish
15629	08-Dec-97	Monday	money	1700	fish
15650	13-Dec-97	Saturday	card	48756	fish
15835	29-Dec-97	Monday	money	24364	dairy
16055	01-Dec-97	Monday	money	40542	dairy
16316	05-Dec-97	Friday	bankcheck	39170	fish
17201	25-Dec-97	Thursday	card	37775	canned
17470	30-Dec-97	Tuesday	money	19076	beer
17747	07-Dec-97	Sunday	card	33860	fish
17830	25-Dec-97	Thursday	card	28020	charcuterie
17864	10-Dec-97	Wednesday	bankcheck	35656	dairy
18126	24-Dec-97	Wednesday	card	34713	wine
18708	10-Dec-97	Wednesday	money	30787	charcuterie
18953	11-Dec-97	Thursday	card	24257	meat
19041	12-Dec-97	Friday	card	14682	fish
19915	18-Dec-97	Thursday	money	40087	dairy
19999	05-Dec-97	Friday	card	17161	canned
20158	20-Dec-97	Saturday	bankcheck	23744	fish
20362	08-Dec-97	Monday	money	317	dairy
20556	26-Dec-97	Friday	card	20410	fruitvegs
20849	11-Dec-97	Thursday	money	44982	spirit drinks
21787	24-Dec-97	Wednesday	money	19537	fish
21875	02-Dec-97	Tuesday	money	10727	fruitvegs
23380	23-Dec-97	Tuesday	bankcheck	36490	fish
23501	15-Dec-97	Monday	money	1022	fish
23718	16-Dec-97	Tuesday	bankcheck	37861	fish
24493	01-Dec-97	Monday	card	20868	fish
24566	11-Dec-97	Thursday	card	39449	canned
24686	07-Dec-97	Sunday	card	38278	dairy
25405	08-Dec-97	Monday	card	36417	meat
25774	23-Dec-97	Tuesday	money	3877	meat
26061	27-Dec-97	Saturday	money	47054	beer
26630	22-Dec-97	Monday	card	46487	fish
27371	17-Dec-97	Wednesday	bankcheck	38743	fish
27664	25-Dec-97	Thursday	money	35636	frozen_meals
27682	01-Dec-97	Monday	bankcheck	18296	fish
27720	16-Dec-97	Tuesday	card	37458	fish
28081	27-Dec-97	Saturday	card	26112	fish
28138	24-Dec-97	Wednesday	money	40946	dairy
28233	29-Dec-97	Monday	money	40811	charcuterie
28268	12-Dec-97	Friday	money	10879	dairy
28630	11-Dec-97	Thursday	bankcheck	30499	meat
28755	14-Dec-97	Sunday	bankcheck	43995	fish
28803	26-Dec-97	Friday	bankcheck	41900	fish
28994	22-Dec-97	Monday	money	11217	meat
29224	15-Dec-97	Monday	card	40948	fish
29944	04-Dec-97	Thursday	money	42898	charcuterie
30132	29-Dec-97	Monday	money	23936	beer
30459	30-Dec-97	Tuesday	bankcheck	32676	wine
30504	01-Dec-97	Monday	bankcheck	27503	dairy
30558	30-Dec-97	Tuesday	card	16585	dairy
30850	08-Dec-97	Monday	money	17182	fish
31011	14-Dec-97	Sunday	card	39563	wine
31046	27-Dec-97	Saturday	money	16585	fruitvegs
31083	22-Dec-97	Monday	money	45615	wine
31828	28-Dec-97	Sunday	card	3043	dairy
32392	17-Dec-97	Wednesday	card	16158	fruitvegs
32444	20-Dec-97	Saturday	money	24258	fruitvegs
32646	30-Dec-97	Tuesday	bankcheck	2653	fruitvegs
33622	14-Dec-97	Sunday	money	39238	charcuterie
33891	16-Dec-97	Tuesday	card	12002	dairy
34529	20-Dec-97	Saturday	card	43195	fish
34702	06-Dec-97	Saturday	card	26376	dairy
35197	09-Dec-97	Tuesday	money	40340	fish
35707	12-Dec-97	Friday	money	16535	fish
35904	13-Dec-97	Saturday	bankcheck	38061	clothes
35979	14-Dec-97	Sunday	card	2775	fish
36191	08-Dec-97	Monday	bankcheck	46428	beer
36364	01-Dec-97	Monday	card	19726	dairy
37114	28-Dec-97	Sunday	money	48040	beer
37166	10-Dec-97	Wednesday	card	16484	fish
37366	23-Dec-97	Tuesday	money	43253	meat
37523	16-Dec-97	Tuesday	card	27671	fish
38063	16-Dec-97	Tuesday	money	36074	clothes
38097	13-Dec-97	Saturday	money	37138	charcuterie
38645	11-Dec-97	Thursday	money	47210	clothes
38723	26-Dec-97	Friday	bankcheck	1716	charcuterie
39080	18-Dec-97	Thursday	card	18388	dairy
40789	08-Dec-97	Monday	money	1119	fish
41792	18-Dec-97	Thursday	money	14569	dairy
41805	14-Dec-97	Sunday	money	48579	charcuterie
42056	17-Dec-97	Wednesday	card	44852	dairy
42381	24-Dec-97	Wednesday	money	46062	meat
42524	19-Dec-97	Friday	bankcheck	14299	fruitvegs
43401	17-Dec-97	Wednesday	money	29441	fruitvegs
43962	20-Dec-97	Saturday	bankcheck	11676	fish
44775	03-Dec-97	Wednesday	bankcheck	23574	wine
44825	02-Dec-97	Tuesday	card	36945	dairy
45102	29-Dec-97	Monday	money	32552	dairy
46071	30-Dec-97	Tuesday	money	18121	fish
46539	10-Dec-97	Wednesday	bankcheck	38399	fish
47136	13-Dec-97	Saturday	money	2203	dairy
47251	21-Dec-97	Sunday	card	46406	canned
47341	22-Dec-97	Monday	card	31976	fish
47914	28-Dec-97	Sunday	money	44591	dairy
48749	21-Dec-97	Sunday	card	1847	fish
49085	09-Dec-97	Tuesday	card	26194	wine
49632	28-Dec-97	Sunday	card	10772	meat
50064	30-Dec-97	Tuesday	card	47082	frozen_meals
50104	07-Dec-97	Sunday	money	2560	charcuterie
50150	08-Dec-97	Monday	money	39525	fish
50324	11-Dec-97	Thursday	money	20100	spirit drinks
51384	11-Dec-97	Thursday	money	14870	dairy
51846	15-Dec-97	Monday	card	37075	fish
52359	27-Dec-97	Saturday	bankcheck	26205	fish
52421	20-Dec-97	Saturday	card	31736	fish
53320	06-Dec-97	Saturday	card	463	fish
54172	30-Dec-97	Tuesday	bankcheck	10402	fish
54313	05-Dec-97	Friday	money	30654	fruitvegs
55552	27-Dec-97	Saturday	card	41646	dairy
55629	21-Dec-97	Sunday	money	49602	dairy
55652	15-Dec-97	Monday	card	41717	dairy
55992	26-Dec-97	Friday	money	17286	spirit drinks
56034	07-Dec-97	Sunday	money	41271	dairy
57102	20-Dec-97	Saturday	money	19910	charcuterie
58188	18-Dec-97	Thursday	card	36063	fruitvegs
59071	21-Dec-97	Sunday	bankcheck	28077	charcuterie
59352	20-Dec-97	Saturday	money	49421	wine
59480	21-Dec-97	Sunday	money	10328	dairy
60073	23-Dec-97	Tuesday	card	1166	wine
60571	25-Dec-97	Thursday	money	24671	fish
60755	10-Dec-97	Wednesday	money	13780	fruitvegs
60890	25-Dec-97	Thursday	card	44632	canned
61144	24-Dec-97	Wednesday	money	10374	dairy
61159	18-Dec-97	Thursday	card	47228	fruitvegs
61789	10-Dec-97	Wednesday	money	14352	dairy
62175	29-Dec-97	Monday	money	17918	canned
62455	24-Dec-97	Wednesday	card	35252	dairy
63138	05-Dec-97	Friday	bankcheck	16961	frozen_meals
63420	13-Dec-97	Saturday	bankcheck	22759	dairy
63880	15-Dec-97	Monday	money	16748	fruitvegs
63996	08-Dec-97	Monday	bankcheck	13735	canned
64281	02-Dec-97	Tuesday	card	1772	dairy
64596	14-Dec-97	Sunday	money	42134	beer
65006	03-Dec-97	Wednesday	money	1055	fish
65088	14-Dec-97	Sunday	bankcheck	11941	clothes
66117	19-Dec-97	Friday	bankcheck	25494	dairy
66267	19-Dec-97	Friday	money	1569	beer
66551	01-Dec-97	Monday	money	43868	fish
66940	26-Dec-97	Friday	card	43961	spirit drinks
66988	07-Dec-97	Sunday	card	17959	frozen_meals
