iter	Passed	Remaining
0	50	50942
1	53	26603
2	55	18563
3	58	14484
4	60	11993
5	62	10321
6	64	9135
7	66	8241
8	68	7546
9	70	6988
10	72	6549
11	75	6191
12	77	5860
13	79	5582
14	81	5335
15	83	5117
16	85	4928
17	87	4760
18	89	4642
19	91	4507
20	93	4382
21	95	4266
22	97	4150
23	99	4056
24	101	3968
25	103	3890
26	106	3831
27	108	3759
28	110	3693
29	114	3714
30	116	3655
31	119	3601
32	121	3551
33	123	3506
34	125	3458
35	127	3413
36	129	3369
37	131	3328
38	133	3288
39	135	3255
40	137	3226
41	140	3193
42	142	3161
43	144	3130
44	146	3100
45	148	3072
46	150	3045
47	152	3020
48	154	3001
49	156	2976
50	158	2952
51	160	2929
52	162	2906
53	164	2887
54	167	2869
55	169	2853
56	171	2836
57	173	2822
58	175	2806
59	178	2788
60	179	2770
61	182	2753
62	184	2738
63	186	2726
64	188	2711
65	190	2696
66	192	2681
67	194	2665
68	196	2652
69	198	2638
70	201	2630
71	203	2625
72	205	2612
73	207	2600
74	209	2587
75	211	2575
76	213	2563
77	215	2552
78	218	2545
79	220	2535
80	222	2524
81	224	2513
82	226	2502
83	228	2493
84	230	2484
85	232	2475
86	235	2467
87	237	2457
88	239	2448
89	241	2439
90	243	2429
91	245	2420
92	247	2414
93	249	2406
94	251	2398
95	253	2390
96	255	2382
97	257	2374
98	259	2365
99	262	2358
100	264	2352
101	266	2346
102	268	2339
103	270	2331
104	272	2323
105	274	2315
106	276	2309
107	278	2302
108	280	2296
109	283	2290
110	285	2284
111	287	2277
112	289	2270
113	291	2264
114	293	2257
115	295	2252
116	297	2247
117	299	2241
118	301	2235
119	303	2229
120	306	2222
121	307	2213
122	309	2207
123	311	2197
124	313	2192
125	315	2188
126	317	2182
127	319	2177
128	321	2173
129	323	2167
130	325	2161
131	328	2158
132	330	2153
133	332	2149
134	334	2144
135	336	2139
136	338	2134
137	341	2130
138	343	2126
139	345	2121
140	347	2117
141	349	2112
142	351	2108
143	353	2103
144	356	2099
145	358	2096
146	360	2092
147	362	2088
148	364	2083
149	366	2079
150	369	2075
151	371	2073
152	373	2069
153	376	2066
154	378	2062
155	380	2058
156	382	2054
157	384	2051
158	387	2047
159	390	2047
160	392	2047
161	395	2043
162	397	2039
163	399	2035
164	401	2032
165	403	2028
166	405	2025
167	408	2021
168	410	2017
169	412	2013
170	414	2009
171	416	2003
172	418	2000
173	420	1996
174	423	1994
175	425	1991
176	427	1988
177	429	1984
178	431	1980
179	434	1977
180	436	1973
181	438	1969
182	440	1968
183	442	1964
184	445	1960
185	447	1957
186	449	1953
187	451	1949
188	453	1946
189	455	1943
190	457	1939
191	460	1935
192	462	1932
193	464	1929
194	466	1925
195	468	1921
196	470	1917
197	472	1914
198	474	1911
199	477	1908
200	479	1905
201	481	1902
202	483	1899
203	485	1895
204	488	1892
